Canada,CAN,1985,421675597
Canada,CAN,1986,404660121
Canada,CAN,1987,430921725.4
Canada,CAN,1988,455608027
Canada,CAN,1989,462817718.7
Canada,CAN,1990,463879790.7
Canada,CAN,1991,454627504.2
Canada,CAN,1992,468864767.5
Canada,CAN,1993,467879575.2
Canada,CAN,1994,483058456.9
Canada,CAN,1995,495664515.6
Canada,CAN,1996,510556786.4
Canada,CAN,1997,525253071.6
Canada,CAN,1998,534236497.5
Canada,CAN,1999,550043150.2
Canada,CAN,2000,572530740
Canada,CAN,2001,564635320.1
Canada,CAN,2002,570885097.8
Canada,CAN,2003,587596290.5
Canada,CAN,2004,585832799.3
Canada,CAN,2005,576801628.7
Brazil,BRA,1985,179936803.4
Brazil,BRA,1986,197226217.1
Brazil,BRA,1987,205788741.6
Brazil,BRA,1988,207562967.6
Brazil,BRA,1989,212113643.7
Brazil,BRA,1990,206921120
Brazil,BRA,1991,217227472
Brazil,BRA,1992,218383504
Brazil,BRA,1993,228333216
Brazil,BRA,1994,239470720
Brazil,BRA,1995,255583376
Brazil,BRA,1996,281194784
Brazil,BRA,1997,296585256
Brazil,BRA,1998,308305720
Brazil,BRA,1999,316282440
Brazil,BRA,2000,324226040
Brazil,BRA,2001,332987400
Brazil,BRA,2002,327434832
Brazil,BRA,2003,317508448
Brazil,BRA,2004,333675144
Brazil,BRA,2005,342086472
